Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadModifyWrite,1683657561.033587,1022227,28,1
1,ReadModifyWrite,1683657561.034127,5034555,3,1
1,ReadModifyWrite,1683657561.034153,1019807,25,1
1,ReadModifyWrite,1683657561.034917,1002068,20,1
1,ReadModifyWrite,1683657561.035205,6121,23,1
1,ReadModifyWrite,1683657561.035307,1002078,5,1
1,ReadModifyWrite,1683657561.035632,2023382,1,1
1,ReadModifyWrite,1683657561.036644,2024412,4,1
1,ReadModifyWrite,1683657561.037041,1002462,14,1
1,ReadModifyWrite,1683657561.037054,1001874,0,1
1,ReadModifyWrite,1683657561.038353,2012639,11,1
1,ReadModifyWrite,1683657561.038406,5030482,16,1
1,ReadModifyWrite,1683657561.041335,5027662,23,1
1,ReadModifyWrite,1683657562.028082,25231,24,1
1,ReadModifyWrite,1683657562.035706,1014267,26,1
1,ReadModifyWrite,1683657562.035914,10357,21,1
1,ReadModifyWrite,1683657562.036993,1018950,20,1
1,ReadModifyWrite,1683657562.037396,2020723,5,1
1,ReadModifyWrite,1683657562.037601,1008292,27,1
1,ReadModifyWrite,1683657562.038705,2017888,7,1
1,ReadModifyWrite,1683657562.038981,1014476,0,1
1,ReadModifyWrite,1683657562.039137,4026736,17,1
1,ReadModifyWrite,1683657562.039512,1011231,14,1
1,ReadModifyWrite,1683657562.039896,11489,22,1
1,ReadModifyWrite,1683657562.041379,2014770,12,1
1,ReadModifyWrite,1683657562.043207,11856,31,1
1,ReadModifyWrite,1683657562.043456,4025348,8,1
1,ReadModifyWrite,1683657562.043857,3017860,30,1
1,ReadModifyWrite,1683657562.044955,1006136,19,1
1,ReadModifyWrite,1683657562.045615,1015976,6,1
1,ReadModifyWrite,1683657562.046281,7887,21,1
1,ReadModifyWrite,1683657562.046329,1009853,13,1
1,ReadModifyWrite,1683657562.049399,5704,9,1
1,ReadModifyWrite,1683657562.051397,5017200,22,1
1,ReadModifyWrite,1683657562.053037,1014133,2,1
1,ReadModifyWrite,1683657562.053325,4007686,24,1
1,ReadModifyWrite,1683657562.053709,4012258,29,1
1,ReadModifyWrite,1683657562.053971,6017021,25,1
1,ReadModifyWrite,1683657562.054179,1997607,21,1
1,ReadModifyWrite,1683657562.055074,3001299,31,1
1,ReadModifyWrite,1683657562.055116,4010926,9,1
1,ReadModifyWrite,1683657562.055826,1011782,28,1
1,ReadModifyWrite,1683657563.044663,17063,10,1
1,ReadModifyWrite,1683657563.045904,4023077,27,1
1,ReadModifyWrite,1683657563.047031,5056678,15,1
1,ReadModifyWrite,1683657563.048217,5038340,18,1
1,ReadModifyWrite,1683657563.049985,5037425,26,1
1,ReadModifyWrite,1683657563.050755,1013623,14,1
1,ReadModifyWrite,1683657563.051004,3020938,11,1
1,ReadModifyWrite,1683657563.051104,4019660,19,1
1,ReadModifyWrite,1683657563.053470,6045072,0,1
1,ReadModifyWrite,1683657563.055953,2009288,20,1
1,ReadModifyWrite,1683657563.056192,5019770,13,1
1,ReadModifyWrite,1683657563.059025,2000972,1,1
1,ReadModifyWrite,1683657563.061103,5002333,4,1
1,ReadModifyWrite,1683657563.061601,3003637,6,1
1,ReadModifyWrite,1683657563.061733,2998586,10,1
1,ReadModifyWrite,1683657563.067179,2996731,2,1
1,ReadModifyWrite,1683657563.067615,5009518,28,1
1,ReadModifyWrite,1683657564.051805,4051471,21,1
1,ReadModifyWrite,1683657564.056178,2009919,12,1
1,ReadModifyWrite,1683657564.056608,1001589,7,1
1,ReadModifyWrite,1683657564.058129,2013370,5,1
1,ReadModifyWrite,1683657564.064393,1994221,14,1
1,ReadModifyWrite,1683657565.056389,1001981,31,1
1,ReadModifyWrite,1683657565.058209,3014442,7,1
1,ReadModifyWrite,1683657565.060010,2008316,1,1
1,ReadModifyWrite,1683657565.061727,1001843,30,1
1,ReadModifyWrite,1683657565.065251,4042040,20,1
1,ReadModifyWrite,1683657566.058385,1010915,31,1
1,ReadModifyWrite,1683657566.058630,2033458,14,1
1,ReadModifyWrite,1683657566.060330,2036139,10,1
1,ReadModifyWrite,1683657566.061024,1002074,24,1
1,ReadModifyWrite,1683657566.063582,2028576,30,1
1,ReadModifyWrite,1683657566.063920,2013727,2,1
1,ReadModifyWrite,1683657566.065250,2035109,6,1
1,ReadModifyWrite,1683657566.065885,1002181,17,1
1,ReadModifyWrite,1683657566.065976,1003532,29,1
1,ReadModifyWrite,1683657566.066055,2035520,9,1
1,ReadModifyWrite,1683657566.066108,2039758,12,1
1,ReadModifyWrite,1683657566.068695,2005955,3,1
1,ReadModifyWrite,1683657566.068815,2034810,8,1
1,ReadModifyWrite,1683657566.068896,5144,16,1
1,ReadModifyWrite,1683657566.069004,2032633,23,1
1,ReadModifyWrite,1683657566.071508,2019660,5,1
1,ReadModifyWrite,1683657566.071951,2026411,11,1
1,ReadModifyWrite,1683657566.074053,2036797,16,1
1,ReadModifyWrite,1683657567.063117,1043491,24,1
1,ReadModifyWrite,1683657567.068082,1019174,17,1
1,ReadModifyWrite,1683657567.068339,1037680,1,1
1,ReadModifyWrite,1683657567.068624,1001827,22,1
1,ReadModifyWrite,1683657567.069041,1033128,27,1
1,ReadModifyWrite,1683657567.069311,1036624,31,1
1,ReadModifyWrite,1683657567.069517,1035030,29,1
1,ReadModifyWrite,1683657567.070776,1001662,19,1
1,ReadModifyWrite,1683657568.063475,47429,4,1
1,ReadModifyWrite,1683657568.070461,25493,22,1
1,ReadModifyWrite,1683657568.071003,34753,25,1
1,ReadModifyWrite,1683657568.072447,33726,19,1
